name category barcode brand id manufacturer image_urls base_price offer_price discount
"Колготки Innamore Ottima 40 Den цвет Daino размер XXL" Колготки 6944970545052 Innamore 33777 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33777/images/0160da783e1f0d0683c9ec.jpg'] 283 283 
"Колготки Incanto Cosmo 70 Den цвет Daino шелковистые размер 4" Колготки 6944944006558 Incanto 33390 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33390/images/01a4d37d2cd66934925926.jpg'] 347 347 
"Колготки Incanto Cosmo 70 Den цвет Nero шелковистые размер 5" Колготки 6944950433171 Incanto 33376 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33376/images/01a4d2793c9e4d269359a4.jpg'] 347 347 
"Колготки Incanto Cosmo 70 Den цвет Nero шелковистые размер 2" Колготки 6944944006565 Incanto 33366 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/33366/images/01a4d2793c9e4d269359a4.jpg'] 347 347 
"Мыло туалетное Детское Ромашка 90г" "Туалетное мыло" 4601313011651 "Детское Весна" 33402 "Весна ОАО ПКК" ['https://api.bonjour-dv.ru/public_v1/products/33402/images/0f35198cc6000000.jpg'] 41 41 
"Дезодорант-антиперспирант спрей Fa Men Invisible Power освежающий аромат, 72 ч 150 мл" Спреи 4015000951944 "Fa Men" 33400 Schwarzkopf "['https://api.bonjour-dv.ru/public_v1/products/33400/images/c663b99cc8663b198ca7.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33400/images/7038140a06028140e050.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33400/images/6030180c070301c0c060.jpg', 'https://api.bonjour-dv.ru/public_v1/products/33400/images/0ee4a25b2fd40000.jpg']" 303 258 15
"Чистая Линия шампунь против выпадения волос Конский каштан 400 мл" "Шампуни для волос" 8714100717509 "Чистая линия" 34216 "Юнилевер Русь ООО" "['https://api.bonjour-dv.ru/public_v1/products/34216/images/4bcbc347c7c7cf4f.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34216/images/80c0c0c0000.jpg', 'https://api.bonjour-dv.ru/public_v1/products/34216/images/6030180c060301c0c060.jpg']" 246 185 25
"Лампа светодиодная LED-JCDR-VC 8Вт 230В GU5.3 4000К 720Лм IN HOME" "Фонари, лампы, лампочки" 4690612020334 Энергосфера 94912 "Энергосфера ООО" ['https://api.bonjour-dv.ru/public_v1/products/94912/images/3272523030300.jpg'] 104 104 
"Аэрозоль от насекомых Picnic Family от клещей усиленный 125 мл" "Средства от клещей" 4600104032172 Picnic 35283 Арнест ['https://api.bonjour-dv.ru/public_v1/products/35283/images/2010180c06030180c060.jpg'] 229 161 30
"Освежитель воздуха Sunny Day Майский ландыш 300 мл" "Аэрозоли, гели" 4600104035128 "Sunny Day" 35092 Гармония ['https://api.bonjour-dv.ru/public_v1/products/35092/images/20100804020100804020.jpg'] 84 84 
"Чистящий крем Mitsuei с ароматом апельсина (очищение без царапин) 400гр" Универсальные 4978951040535 Mitsuei 35036 MITSUEI ['https://api.bonjour-dv.ru/public_v1/products/35036/images/180c04060180804000.jpg'] 197 197 
"Средство для стирки жидкое Вoрсинка для черных вещей 1.2 л" "Гели и жидкие средства для стирки" 4600697020440 Вoрсинка 35002 "Невская Косметика АО" ['https://api.bonjour-dv.ru/public_v1/products/35002/images/c040c0c0c1c0c0c.jpg'] 355 355 
"Средство санитарно-гигиеническое Чистин гель 750 мл" Универсальные 4602984007714 Чистин 34352 "Ступинский химический завод ЗАО" ['https://api.bonjour-dv.ru/public_v1/products/34352/images/140c0c0c0c0c0c0c.jpg'] 108 108 
"Жидкость для мытья посуды Fairy Нежные руки чайное дерево и мята 900 мл" "Для мытья посуды" 8001090017079 Fairy 34350 "Procter & Gamble" ['https://api.bonjour-dv.ru/public_v1/products/34350/images/30181c0e068341c0e070.jpg'] 302 302 
"Жидкость для мытья посуды Fairy Нежные руки ромашка и витамин е 900 мл" "Для мытья посуды" 8001090017048 Fairy 34349 "Procter & Gamble" ['https://api.bonjour-dv.ru/public_v1/products/34349/images/30181c0e070381c0e070.jpg'] 302 302 
"Колготки Incanto Active Body 20 Den цвет Nero размер 5" Колготки 6944944008309 Incanto 36037 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/36037/images/381c0e06030180e000.jpg'] 294 294 
"Колготки Innamore Sensi Vita Bassa 40 Den цвет Daino с заниженной талией размер 2" Колготки 6944944001423 Innamore 36030 ИТАЛКОМ ['https://api.bonjour-dv.ru/public_v1/products/36030/images/e07030181f4f2793e9e0.jpg'] 260 260 
