name,category,barcode,brand,id,manufacturer,image_urls,base_price,offer_price,promotion
Бальзам после бритья Gillette Gillette pro 3в1 увлажняющий 50 мл,Средства после бритья,7702018255566,Gillette,37860,Procter & Gamble,https://api.bonjour-dv.ru/public_v1/products/37860/images/e070271b0d07239168b4.jpg,843,843,
Гель для бритья Gillette Fusion Ultra Moisturizing увлажняющий для комфорта кожи во время бритья 200 мл,Средства для бритья,7702018089741,Gillette,37859,Procter & Gamble,https://api.bonjour-dv.ru/public_v1/products/37859/images/70381c0e070381c0e070.jpg,572,572,
Зубная паста Пародонтол Прохлада мохито 124г,Зубные пасты,4600936241322,Пародонтол,37855,Свобода,https://api.bonjour-dv.ru/public_v1/products/37855/images/26d74b60000000.jpg,109,109,
Гель для бритья Gillette Fusion Ultra Sensitive & Cooling для чувствительной кожи охлаждающий 200 мл,Средства для бритья,7702018089864,Gillette,37858,Procter & Gamble,https://api.bonjour-dv.ru/public_v1/products/37858/images/6038180e060301c0c070.jpg,843,843,
Зубная паста KeraSys Восточный чай 130г,Зубные пасты,8801046979280,KeraSys,37853,KeraSys,https://api.bonjour-dv.ru/public_v1/products/37853/images/1e161616163e3e3e.jpg,176,176,
Зубная паста KeraSys Восточный красный чай 125г,Зубные пасты,8801046900000,KeraSys,37852,KeraSys,https://api.bonjour-dv.ru/public_v1/products/37852/images/30f3f3f3c2000.jpg,176,176,
Шампунь для волос KeraSys Hair Clinic Repairing восстанавливающий запасной блок 500 мл,Шампуни для волос,8801046900727,KeraSys,37847,KeraSys,https://api.bonjour-dv.ru/public_v1/products/37847/images/2a2a2a2a2b0f0b1b.jpg,419,419,
Мыло жидкое Absolut Kids Череда 250г,Жидкое мыло,4601313010739,Absolut,37840,Весна ОАО ПКК,https://api.bonjour-dv.ru/public_v1/products/37840/images/6010080c07030180c060.jpg,134,134,
Dove бальзам-ополаскиватель Питающий уход 200 мл,"Бальзамы, кондиционеры, ополаскиватели",8711600728486,Dove,37845,Юнилевер Русь ООО,"https://api.bonjour-dv.ru/public_v1/products/37845/images/eb4d4f47ef6b6b67.jpg,https://api.bonjour-dv.ru/public_v1/products/37845/images/e0e0e0e0c0c08.jpg,https://api.bonjour-dv.ru/public_v1/products/37845/images/c0c0c0c0c0c08.jpg,https://api.bonjour-dv.ru/public_v1/products/37845/images/c0c0c0c0c0400.jpg,https://api.bonjour-dv.ru/public_v1/products/37845/images/307060e0e1c3800.jpg,https://api.bonjour-dv.ru/public_v1/products/37845/images/101c16060400.jpg,https://api.bonjour-dv.ru/public_v1/products/37845/images/30180c06030180c000.jpg",391,391,
"Шампунь для волос Gliss Kur Экстремальное восстановление для поврежденных волос, восстановление глубоких повреждений 250 мл",Шампуни для волос,4015000941624,Gliss Kur,37838,Schwarzkopf,"https://api.bonjour-dv.ru/public_v1/products/37838/images/6038180c07038180c060.jpg,https://api.bonjour-dv.ru/public_v1/products/37838/images/70703a1905024120e070.jpg,https://api.bonjour-dv.ru/public_v1/products/37838/images/70703c1b04828120b070.jpg,https://api.bonjour-dv.ru/public_v1/products/37838/images/b0783a1d02c182a000.jpg,https://api.bonjour-dv.ru/public_v1/products/37838/images/0140a84c39108a154aa55a.jpg",391,391,
Зубная паста KeraSys мягкая защита 125г,Зубные пасты,8801046898260,KeraSys,37820,KeraSys,https://api.bonjour-dv.ru/public_v1/products/37820/images/3626272727273f18.jpg,173,173,
Крем после бритья Arko Men Sensitive для чувствительной кожи 50 гр,Средства после бритья,8690506418205,Arko Men,37822,Evyap Sabun,https://api.bonjour-dv.ru/public_v1/products/37822/images/cce673399cce2733b1c0.jpg,186,186,
Зубная паста KeraSys Максимальная защита 125 гр,Зубные пасты,8801046898406,KeraSys,37819,KeraSys,https://api.bonjour-dv.ru/public_v1/products/37819/images/406260606161a18.jpg,220,220,
Крем-гель для душа Palmolive Натурэль Роскошная мягкость черная орхидея и увлажняющее молочко 250 мл,Гели для душа,8693495031066,Palmolive,37805,Колгейт-Палмолив АО,"https://api.bonjour-dv.ru/public_v1/products/37805/images/140e160e06060e1e.jpg,https://api.bonjour-dv.ru/public_v1/products/37805/images/7038180c070281c0b85c.jpg,https://api.bonjour-dv.ru/public_v1/products/37805/images/b379a3ceb0e8e3318857.jpg,https://api.bonjour-dv.ru/public_v1/products/37805/images/01c2ecfcfa7b2cb43c361b.jpg,https://api.bonjour-dv.ru/public_v1/products/37805/images/01b764b8d8f48ef3d94e2a.jpg",281,281,
Пена для бритья Nivea Men Sensitive успокаивающая для чувствительной кожи 200 мл,Средства для бритья,4005800108754,Nivea Men,37781,Beiersdorf AG,https://api.bonjour-dv.ru/public_v1/products/37781/images/01b07f1c5f8f19ff6192f9.jpg,357,357,
"COLGATE Макс Блеск отбеливающая зубная щетка, средней жесткости, промоупаковка 1+1",Зубные щетки,4606144005695,Colgate,37767,Колгейт-Палмолив АО,https://api.bonjour-dv.ru/public_v1/products/37767/images/c14040c14141c0c.jpg,422,422,
Краска для волос Хна крем с репейным маслом шоколад в готовом виде 50 мл,Краски для волос,4607051797093,Хна,38023,Фитокосметик ООО,https://api.bonjour-dv.ru/public_v1/products/38023/images/170f631355531d11.jpg,105,105,
Краска для волос Хна крем с репейным маслом каштан в готовом виде 50 мл,Краски для волос,4607051797055,Хна,38022,Фитокосметик ООО,https://api.bonjour-dv.ru/public_v1/products/38022/images/961606a2c6969c12.jpg,105,105,
Зубная паста Новый жемчуг Лечебные травы 50 мл,Зубные пасты,4600697173580,Новый жемчуг,38016,Невская Косметика АО,"https://api.bonjour-dv.ru/public_v1/products/38016/images/c064311c8fe0100000.jpg,https://api.bonjour-dv.ru/public_v1/products/38016/images/0138c4753a9d4ee771f9e0.jpg",60,60,
Зубная паста Новый жемчуг c соком алоэ 100 мл,Зубные пасты,4600697174242,Новый жемчуг,37990,Невская Косметика АО,"https://api.bonjour-dv.ru/public_v1/products/37990/images/4022f86070000000.jpg,https://api.bonjour-dv.ru/public_v1/products/37990/images/30dc301a0c8643a1d000.jpg,https://api.bonjour-dv.ru/public_v1/products/37990/images/10f0783cfcee47224180.jpg",111,111,
Бархатные Ручки крем для рук Регенерирующий 80 мл,Уход за руками,4600702088618,Бархатные ручки,37980,Юнилевер Русь ООО,"https://api.bonjour-dv.ru/public_v1/products/37980/images/66e6676367474747.jpg,https://api.bonjour-dv.ru/public_v1/products/37980/images/c0c0c0c060e0e0e.jpg",128,109,15
Зубной порошок Фитокосметик Отбеливающий для курящих 75 гр,Зубные пасты,4607051792777,Фитокосметик,37966,Фитокосметик ООО,https://api.bonjour-dv.ru/public_v1/products/37966/images/e1b716cc6d5631e.jpg,45,32,29
Гель для душа Nivea Men Заряд чистоты 250 мл,Гели для душа,4005800140457,Nivea Men,37964,Beiersdorf AG,https://api.bonjour-dv.ru/public_v1/products/37964/images/70281c0e070381c0e078.jpg,356,356,
Мыло туалетное Palmolive Натурэль Свежая малина смягчающее 90 гр,Туалетное мыло,8693495032964,Palmolive,37960,Колгейт-Палмолив АО,https://api.bonjour-dv.ru/public_v1/products/37960/images/71d3d09090f00.jpg,113,113,
Мыло туалетное Palmolive Натурэль Летний арбуз 90 гр,Туалетное мыло,8693495032940,Palmolive,37959,Колгейт-Палмолив АО,https://api.bonjour-dv.ru/public_v1/products/37959/images/32d5d49091f00.jpg,112,101,10
Зубная паста Пародонтол Тройное действие (ламинированная туба футляр) 130/124г,Зубные пасты,4600936241254,Пародонтол,37944,Свобода,https://api.bonjour-dv.ru/public_v1/products/37944/images/3dd0a844000000.jpg,109,109,
